Empresa;Tipo de Lead;Contato;Atuação;Instagram;Estado;Cidade;Telefone;Observação
MEGA FIRE EFEITOS;Qualificar;;Shows;;MINAS GERAIS;SALINAS;(38) 99161 5469;
MEGA FOGOS;Qualificado;;Lojista;https://www.instagram.com/mega.fogos?igsh=eHZyYTIxd25yZXU2;BAHIA;VITÓRIA DA CONQUISTA;(77) 3422 9308;Sem postagens em 2025. Ver se continua ativo · seguindo no Instagram
MEGA FOGOS;Qualificar;;Lojista;;SÃO PAULO;VINHEDO;(19) 99645-2417;
MICHEL FOGOS;Em conversão;Gisele;Lojista;;MINAS GERAIS;PASSOS;(35) 98811 5199;
MINAS FOGOS - SERGIO VIDAL;Qualificar;;Lojista;;PARÁ;SANTA ISABEL DO PARA;(  );
MR FOGOS;Qualificar;;Lojista;;SÃO PAULO;BIRIGUI;(18) 99724 4781;Prospectando
MS ARTE E FOGOS;Qualificado;;Shows;vhttps://www.instagram.com/arteefogosms?igsh=MWZrNG8yOTgyZXBleA==;MINAS GERAIS;BETIM;(31) 99972-2882;seguindo no Instagram
MULTI FOGOS;Qualificar;;Shows - Lojista;;RIO GRANDE DO SUL;CAXIAS DO SUL;(54) 99974 9167;
MULTI SHOW FOGOS E SHOWS PIROTECNICOS LTDA ME;Qualificar;João Batista Scalvin;Lojista;;SANTA CATARINA;NOVA TRENTO;(48) 99962 6295 - (48) 3267.0740;
MUNDIAL FOGOS;Qualificar;;Lojista;;MATO GROSSO;CUIABA;(65) 3624 2457;
MUNDIAL FOGOS E PESCAS;Qualificar;;Lojista;;PARANÁ;MARIALVA;(44) 99902 0462;seguindo no Instagram
MUNDIAL FOGOS E PESCAS;Qualificar;;Shows - Lojista;;RONDÔNIA;JI-PARANA;(69) 99277 3610;
MUNDO DOS FOGOS;Qualificar;;Lojista;;PARANÁ;FOZ DO IGUAÇU;(45) 3029 2014;seguindo no Instagram
MUNDO DOS INFLÁVEIS;Qualificar;;Lojista;;RORAIMA;BOA VISTA;(95) 99122 9785;
NAS ALTURAS FOGOS;Qualificar;;Lojista;;SÃO PAULO;SUZANO;(11) 99140 0633;
NATAL FOGOS;Qualificar;;Lojista;;RIO GRANDE DO NORTE;NATAL;(84) 3113 0982;
NENÊ PIPAS DISTRIBUIDORA DE FOGOS;Em conversão;Nene;Lojista;https://www.instagram.com/nenepipas?igsh=cmd2ZWFiNXlxYTNk;SÃO PAULO;SAO PAULO;(11) 99633 5393;Visitado em 2024. Terceiro maior comprador de SP. Ainda não compra Piromax · seguindo no Instagram
NETO FOGOS;Qualificado;;Lojista;https://www.instagram.com/neto.fogos?igsh=MXJycGJ6ZGM4dTMybA==;ALAGOAS;MACEIO;(82) 99661 0390;Barraca de fogos · seguindo no Instagram
NILTON FOGOS;Qualificar;;Lojista;;BAHIA;ILHÉUS;(73)981026709;
NORDESTE SHOWS PIROTECNICOS;Qualificar;;Shows - Lojista;;PIAUÍ;TERESINA;(86) 99475 5512;
NOSTALGIA FOGOS E PIPAS;Qualificar;;Lojista;;PARANÁ;CURITIBA;(41) 98823 0826;seguindo no Instagram
PALACIO DOS FOGOS;Qualificar;;Lojista;;PARANÁ;PONTA GROSSA;(42) 99906 1412;seguindo no Instagram
PAVANI FOGOS LTDA;Em conversão;;Shows - Lojista;;RIO GRANDE DO SUL;SAPUCAIA DO SUL;(51) 3451.2664;
PEPINO FOGOS;Qualificado;;Lojista;https://www.instagram.com/pepinofogos?igsh=MWdoNDlodjFqYmpleQ==;AMAZONAS;MANAUS;(92) 99250 7278;Compra São João, Amazon, Cariri. · seguindo no Instagram
Pipa Fogos e Artigos de Epoca;Qualificar;;Lojista;;SÃO PAULO;FRANCO DA ROCHA;(11) 98507-6564;
PIPARTE FOGOS;Qualificado;Clovis;Lojista;https://www.instagram.com/pipartebr_fogos?igsh=bmdidm0ycW55eGhv;SÃO PAULO;SAO PAULO;(11) 94443 4921;Visitado em Dez 24. Contato novamente em 08 Jul. · seguindo no Instagram
PIRATA PIPAS E FOGOS;Qualificar;;Lojista;;SÃO PAULO;SAO PAULO;(11) 4232 8291;
PIROCENTER FOGOS;Qualificar;;Lojista;;PARANÁ;CASCAVEL;(45) 98801 9100;
PIROEX LTDA;Qualificar;Marquinho;Lojista;;MINAS GERAIS;BELO HORIZONTE;(31) 99106 4221;
PIROFOGOS;Qualificado;;Lojista;https://www.instagram.com/pirofogos?igsh=cWk1dTB5dDRwMndw;MATO GROSSO DO SUL;CAMPO GRANDE;(67) 3388 2299;seguindo no Instagram
PIROSHOW ESPETÁCULOS PIROTÉCNICOS;Qualificar;;Lojista;;SÃO PAULO;SAO PAULO;(11) 98172 3849;
PIROTECNIA SÃO CARLOS;Qualificar;;Lojista;;SERGIPE;ARACAJU;(79) 99887 6697;
PIROXU FESTAS E FOGOS;Qualificado;;Lojista;https://www.instagram.com/piroxufestasefogos?igsh=MXhsZmRlZHIwbW9xcw==;PARANÁ;ARAPONGAS;(43) 99846 0440;Não visitado. Fazer contado e enviar tabela · seguindo no Instagram
PLANETA DOS FOGOS;Qualificado;;Lojista;https://www.instagram.com/planetadosfogos?igsh=d3Y5MnJ1cGxpNjZ2;CEARÁ;FORTALEZA;(85) 98886 2868;seguindo no Instagram
PLANETA FOGOS E PIPAS;Qualificar;;Lojista;;PARANÁ;FAZENDA RIO GRANDE;(41) 98443 4299;seguindo no Instagram
POLESELLO CIA LTDA (FOGOS PRATA);Qualificar;;;;RIO GRANDE DO SUL;NOVA PRATA;(54) 0 3242.1162;
POLO FOGOS (CEZAR AUGUSTO RECCEVOTTO MASCARENHAS);Qualificar;;Lojista;;PARANÁ;PONTA GROSSA;(42) 99972 1089;
PONTO DO FOGUETEIRO;Qualificar;;Lojista;;RIO GRANDE DO NORTE;NATAL;(84) 99954 9195;
REAL COM. DE FOGOS DE ARTIFICIOS LTDA ME;Qualificar;;Lojista;;SANTA CATARINA;ITAJAI;(47) 3045.7102;
REI DOS FOGOS;Qualificado;;Lojista;https://www.instagram.com/reidosfogospb?igsh=ZzlndWh6dHIyejNu;PARAÍBA;JOÃO PESSOA;(83) 98810 1803;seguindo no Instagram
REI DOS FOGOS;Qualificar;;Lojista;;PERNAMBUCO;SERRA TALHADA;(87) 99810 0736;
REI DOS FOGOS;Qualificar;;Shows - Lojista;;PIAUÍ;TERESINA;(86) 99917 2148;
RELIPPI COM. DE ARTS PARA FESTAS LTDA;Qualificar;;;;RIO GRANDE DO SUL;CAXIAS DO SUL;(54) 0 3228.4499;
RÉLOS FOGOS E PIPAS;Qualificar;;Lojista;;PARANÁ;CURITIBA;(41) 3245 4765;seguindo no Instagram
RENATO CHAMMA E CIA LTDA;Qualificar;;Lojista;;AMAZONAS;MANAUS;(92) 3234 0937;
RICO COMPANY;Em conversão;Rico;Lojista;https://www.instagram.com/ricocompany?igsh=dzdnZDMzcGdqZTls;SÃO PAULO;SAO PAULO;(11) 94025 6019;Visitado em 2024.  Maior comprador de SP. Ainda não compra Piromax · seguindo no Instagram
RN FOGOS;Qualificar;;Shows - Lojista;;RIO GRANDE DO NORTE;NATAL;(84) 99947 0577;
ROB PESCA ADVENTURE;Qualificar;;Lojista;;PARANÁ;MARINGA;(44) 3225 0050;Visitado em 2024. Alexandre está prospectando · seguindo no Instagram
SAÇÇO COMERCIO DE FOGOS DE ARTIFÍCIO LTDA;Em conversão;Marco;Lojista;;MINAS GERAIS;JUIZ DE FORA;(32) 99195.5214;Não responde aos contatos. Tem débitos com a empresa
SAFARI FOGOS;Em conversão;;Lojista;;PARANÁ;PONTAL DO PARANÁ;(41) 99138 5909;Tabela enviada · seguindo no Instagram
SANTANA FOGOS;Qualificar;;Lojista;;ALAGOAS;SANTANA DO IPANEMA;(82) 99631 6621;
SHOPPING DOS FOGOS 02;Qualificar;;Lojista;;SERGIPE;ARACAJU;(79) 99956 8802;
SILÊNCIO PIPAS E FOGOS;Em conversão;Silvano;Lojista;https://www.instagram.com/artcolorpapeis?igsh=MWcyaDFydGVoMmc4eQ==;SÃO PAULO;SAO PAULO;(11) 99902 5873;Visitado em 2024.  Ainda não compra Piromax · seguindo no Instagram
SÓ FOGOS;Qualificado;;Lojista;https://www.instagram.com/sofogosarapiraca?igsh=cTN0MGltOXNmNnM3;ALAGOAS;ARAPIRACA;(82) 35214208;Compra Caruaru, Líder, Gaúcho, Tiziu. Oportunidade para contato · seguindo no Instagram
SODIFEST FOGOS DE ARTIFÍCIO;Qualificar;;Lojista;https://www.facebook.com/share/1C6HxKKJFp/?mibextid=wwXIfr;PARANÁ;LONDRINA;(43) 99601 1215;
STAR FOGOS;Qualificar;;Shows;;MINAS GERAIS;PATOS DE MINAS;(34) 99918 2198;
SZPAK FOGOS (SILVIO PEDRO SZPAK);Em conversão;;Shows - Lojista;;SANTA CATARINA;TIJUCAS;(48) 99682 7474;
TECNOFOGOS COMERCIAL LTDA EPP;Em conversão;Flaviano;Shows - Lojista;;SANTA CATARINA;BLUMENAU;(47) 99288 1054;Visitado em Agosto. Aguardando pedido · seguindo no Instagram
TFX EFEITOS ESPECIAIS;Qualificado;;Lojista;https://www.instagram.com/tfxefeitos?igsh=NjhtN3Qzajdocm1s;MATO GROSSO;CUIABA;(65) 99608 0903;seguindo no Instagram
TIRO CERTO;Em conversão;;Shows;;MINAS GERAIS;IPATINGA;(31) 99988‑5661‬;
TOM PIPAS E FOGOS;Qualificar;;Lojista;;PARANÁ;CURITIBA;(41) 99903 3036;seguindo no Instagram
TOP FOGOS SHOW PIROTECNICO;Qualificado;;Shows - Lojista;https://www.instagram.com/topfogosshowpirotecnico?igsh=MW9yZDN4dzJtMW4zYQ==;CEARÁ;ICÓ;(88) 99911 5094;seguindo no Instagram
TRADIÇÃO FOGOS;Qualificar;;Lojista;;SÃO PAULO;SAO PAULO;(11) 2973.4069;
TRIBOS FOGOS DE ARTIFÍCIO;Qualificado;;Shows;vhttps://www.instagram.com/tribosfogosdeartificio?igsh=MW1kendoZ3h0Y2IyYQ==;CEARÁ;FORTALEZA;(85) 3254 7165;seguindo no Instagram
UDI FOGOS;Qualificar;;Lojista;;MINAS GERAIS;UBERLANDIA;(34) 98835 7824;
UMUFOGOS;Em conversão;;Lojista;;PARANÁ;UMUARAMA;(44) 99900 6209;Tabela enviada · seguindo no Instagram
UNIVERSO DOS FOGOS;Qualificar;;Lojista;;PERNAMBUCO;SÃO LOURENÇO DA MATA;(81) 98890 5537;
VISION SHOW;Em conversão;Marcelo Kokote;Shows;;SANTA CATARINA;FLORIANOPOLIS;(48) 99947 8181;Tabela e efeitos de bombas enviados ao Kokote · seguindo no Instagram
VITÓRIA FOGOS;Qualificado;;Lojista;vhttps://www.instagram.com/vitoriafogos?igsh=cXZ3YW9lc2V6YnRh;ESPIRITO SANTO;VITORIA;(27) 3029 1731;seguindo no Instagram
VÔO LIVRE PIPAS E FOGOS;Qualificar;;Lojista;;PARANÁ;CAMPINA GRANDE DO SUL;(41) 98780 0429;seguindo no Instagram
XUXA FOGOS - O BARATÃO;Em conversão;;Lojista;https://www.instagram.com/xuxafogos.obaratao?igsh=MXU5NmYxczFlamo0NQ==;BAHIA;SALVADOR;(71) 98856 7672;Visitado em Fevereiro 26 · seguindo no Instagram
Xuxu Fogos;Qualificar;;Lojista;;SÃO PAULO;SAO PAULO;(11) 96627-8630;
YPÊ FOGOS DE ARTIFÍCIO;Qualificar;;Lojista;;SANTA CATARINA;PORTO UNIÃO;(42) 3522 2200;
